iter	RMSE
0	332667.3446
1	314878.0847
2	299910.8927
3	285208.1571
4	275097.1199
5	262492.7879
6	250858.8794
7	241258.6376
8	231999.0437
9	222998.2627
10	215116.2764
11	207743.335
12	201754.4187
13	194828.2108
14	190001.3581
15	183807.3903
16	177562.1744
17	172198.5569
18	167088.8827
19	162840.255
20	158504.3557
21	154912.7174
22	150444.6528
23	147127.174
24	143795.3484
25	139593.2901
26	136952.0818
27	133709.2558
28	131466.1076
29	128922.2207
30	126315.9381
31	123150.9219
32	121168.0498
33	118960.7335
34	116121.1991
35	114202.1477
36	113085.8373
37	111322.4572
38	109766.1378
39	107234.8234
40	104790.8223
41	103179.7074
42	101503.6342
43	99415.46425
44	97677.63675
45	96694.42096
46	94846.94989
47	93774.19591
48	92258.26687
49	90264.92539
50	89556.83185
51	88733.85521
52	87657.95301
53	86429.24458
54	85342.0185
55	83787.44658
56	82470.56163
57	80902.88155
58	79797.93318
59	79265.10077
60	78837.16538
61	77735.74169
62	76420.31049
63	75964.80075
64	75587.98034
65	74741.1004
66	73503.0702
67	71982.7681
68	70962.12074
69	70054.69665
70	69192.79225
71	68388.93559
72	67529.45433
73	66242.0928
74	65116.43538
75	64285.02147
76	63493.06667
77	62539.22269
78	61937.4947
79	61477.45987
80	60665.16203
81	60135.10499
82	59495.19206
83	58999.04898
84	57835.46738
85	56762.32645
86	55722.17787
87	55412.00565
88	55012.15777
89	54331.63102
90	53832.79519
91	53343.41913
92	52339.34812
93	51473.14327
94	51082.14391
95	50550.19803
96	49978.52469
97	49477.81075
98	48924.58142
99	48248.96458
