iter	Passed	Remaining
0	3	386
1	7	378
2	11	367
3	15	362
4	18	358
5	22	359
6	26	353
7	30	348
8	33	342
9	37	341
10	41	336
11	45	333
12	49	333
13	53	330
14	57	324
15	60	319
16	64	315
17	68	311
18	72	307
19	75	303
20	79	298
21	83	295
22	87	293
23	91	288
24	94	284
25	98	279
26	101	275
27	105	271
28	109	267
29	112	263
30	116	259
31	120	256
32	124	253
33	128	249
34	132	245
35	136	242
36	139	238
37	143	233
38	147	230
39	150	225
40	154	222
41	158	218
42	162	214
43	165	211
44	169	206
45	173	203
46	176	199
47	180	195
48	184	191
49	188	188
50	191	184
51	195	180
52	199	176
53	202	172
54	206	168
55	209	164
56	213	161
57	217	157
58	221	153
59	225	150
60	228	146
61	232	142
62	235	138
63	239	134
64	243	131
65	247	127
66	250	123
67	254	119
68	258	116
69	261	112
70	265	108
71	268	104
72	272	100
73	276	97
74	280	93
75	283	89
76	288	86
77	291	82
78	295	78
79	298	74
80	303	71
81	306	67
82	310	63
83	314	59
84	317	56
85	321	52
86	325	48
87	329	44
88	332	41
89	336	37
90	340	33
91	344	29
92	347	26
93	351	22
94	355	18
95	359	14
96	362	11
97	366	7
98	370	3
99	374	0
